Start Date,12/31/2006,,*The S&P 500 VIX Futures Index Series measures the return from a daily rolling long position in the VIX futures contracts traded on the CBOE. The short-term index is comprised of the first and second contract months.,,,,,,,
End Date,11/30/2021,,,,,,,,,
,SPX LEVEL,CDX IG 5Y SPREAD,CDX HY 5Y SPREAD,VIX SPOT,VIX FIRST MONTH FUTURE,VIX SECOND MONTH FUTURE,VIX THIRD MONTH FUTURE,CDX IG 5Y ON THE RUN TOTAL RETURN SERIES,VIX FUTURES INDEX SERIES TOTAL RETURN*,SPX TOTAL RETURN
01/05/2007,1409.71,33.854,248.506,12.14,12.38,13.48,13.83,105.01195,48746.66,2173.29
01/12/2007,1430.73,33.881,231.286,10.15,10.66,12.08,13.18,105.04101,43482.37,2206.68
01/19/2007,1430.5,32.416,216.591,10.4,11.69,12.78,13.32,105.12158,42208.82,2206.6
01/26/2007,1422.18,31.796,214.757,11.13,11.88,12.78,13.47,105.15026,42690.01,2193.89
02/02/2007,1448.39,31.791,212.7,10.08,11.2,12.24,13.08,105.18588,40621.44,2235.39
02/09/2007,1438.06,30.588,203.699,11.1,11.23,12.2,13.17,105.20411,40597.82,2220.72
02/16/2007,1455.54,30.421,191.134,10.02,11.56,12.58,13.37,105.23421,38371.57,2249.06
02/23/2007,1451.19,29.693,193.485,10.58,11.59,12.59,13.24,105.26325,38485.19,2243.26
03/02/2007,1387.17,37.185,268.624,18.61,15.19,14.59,14.69,104.94218,48222.37,2145.43
03/09/2007,1402.85,33.724,230.523,14.09,13.6,13.76,13.84,105.10501,44717.41,2170.62
03/16/2007,1386.95,37.14,261.643,16.79,15.99,15.79,15.22,104.94652,51755.72,2146.93
03/23/2007,1436.11,34.78,224.7,12.95,13.33,13.87,13.87,105.0727,43522.26,2223.12
03/30/2007,1420.86,38.244,292.071,14.64,14.49,14.39,14.5,104.91175,46878.64,2200.12
04/06/2007,1443.76,37.266,287.953,13.23,13.53,14,14.26,104.96621,44669.65,2236.71
04/13/2007,1452.85,37.08,278.031,12.2,12.39,13.57,14.02,105.00486,42756.52,2251.12
04/20/2007,1484.35,34.544,252.665,12.07,13.03,13.48,13.71,105.12482,41068.69,2300.08
04/27/2007,1494.07,36.112,262.545,12.45,13.02,13.54,13.75,105.0608,41130.95,2315.7
05/04/2007,1505.62,35.939,267.733,12.91,13.14,13.63,14.03,105.07409,41508.15,2334.61
05/11/2007,1505.85,35.584,260.879,12.95,12.77,13.94,14.23,105.09891,42071.69,2336.48
05/18/2007,1522.75,35.046,260.267,12.76,13.99,14.45,14.82,105.12959,42463.26,2363.97
05/25/2007,1515.73,34.383,256.028,13.34,13.96,14.64,14.79,105.18333,42567.39,2353.42
06/01/2007,1536.34,34.223,251.915,12.78,13.41,14.29,14.66,105.19022,41230.05,2386.63
06/08/2007,1507.67,35.116,264.23,14.84,15.08,15.14,15.46,105.12822,44863.49,2342.98
06/15/2007,1532.91,35.568,264.351,13.94,13.64,14.43,14.83,105.13554,42441.82,2382.97
06/22/2007,1502.56,39.936,313.147,15.75,15.77,15.81,15.83,104.93744,46261.14,2336.41
06/29/2007,1503.35,40.146,345.973,16.23,16.19,16.16,16.38,104.8541,47430.71,2338.25
07/06/2007,1530.44,42.03,361.854,14.72,15.3,15.73,15.8,104.81818,45498.56,2381.59
07/13/2007,1552.5,41.937,369.856,15.15,15.45,16.5,16.66,104.82585,47503.89,2416.28
07/20/2007,1534.1,52.734,451.04,16.95,17.72,17.76,17.82,104.42996,51019.4,2387.96
07/27/2007,1458.95,78.649,571.418,24.17,20.07,19.71,19.73,103.19886,57510.74,2271.41
08/03/2007,1433.06,80.924,509.64,25.16,22.61,22.29,22,103.1206,64823.93,2231.98
08/10/2007,1453.64,70.039,438.25,28.3,27.18,23.63,23.13,103.65984,71717.22,2265.36
08/17/2007,1445.94,73.424,424.168,29.99,30.07,26.47,23.89,103.53472,79972.03,2254.68
08/24/2007,1479.37,60.587,392.659,20.72,22.23,21.29,20.55,104.07583,66858.99,2307.22
08/31/2007,1473.99,70.699,419.795,23.38,23.7,22.7,21.87,103.82174,71305.97,2299.71
09/07/2007,1453.55,72.011,429.671,26.23,25.83,24.1,22.51,103.54127,76657.88,2269.32
09/14/2007,1484.25,64.449,412.682,24.92,24.8,23.78,22.45,103.82089,75145.06,2318.11
